XN Date,Cheque No,Narration,Debits,Credits,Balance,Sub Category
20-09-2022,BANK CHARGES,ecsrtnchgs020822_sr846065101gst,588.51,,14396.49,ECS BOUNCED CHARGES
20-09-2022,BANK CHARGES,ecsrtnchgs100622_sr834870800gst,588.16,,13808.33,ECS BOUNCED CHARGES
20-09-2022,BANK CHARGES,ecsrtnchgs100822_sr847399866gst,590,,13218.33,ECS BOUNCED CHARGES
20-09-2022,BANK CHARGES,ecsrtnchg01_100822_sr847399866gst,590,,12628.33,ECS BOUNCED CHARGES
20-09-2022,BANK CHARGES,ecsrtnchg01_050822_sr846643015gst,589.99,,12038.34,ECS BOUNCED CHARGES
11-08-2022,,ecsrtnchgs050822_sr846643015,5,,0,ECS BOUNCED CHARGES
07-09-2022,,ecsrtnchg01_300822_sr851055047gst,590,,3303,ECS BOUNCED CHARGES
08-09-2022,,ecsrtnchg01_050922_sr851975665,16.99,,0.01,ECS BOUNCED CHARGES
20-09-2022,,ecsrtnchgs200822_sr849174807gst,8,,0,ECS BOUNCED CHARGES
28-09-2022,TBMS- , chrg: ecs return on 16-sep-2022 navi finserv priva(value date: 26-09- 10301552342022) ,590,,208.24,ECS BOUNCED CHARGES
22-09-2022,,ecsrtnchgs090922_sr854841888,1.77,,0.01,ECS BOUNCED CHARGES
23-09-2022,BANK CHARGES,ecsrtnchgs922_sr854841888gst  0,0.01,,0,ECS BOUNCED CHARGES
06-10-2022,BANK CHARGES,ecsrtnchg01_210922_sr856015266gst,0.42,,0.01,ECS BOUNCED CHARGES
06-10-2022,BANK CHARGES,ecsrtnchgs210922_sr856015266gst  0,0.01,,0,ECS BOUNCED CHARGES
10-09-2022,BANK CHARGES,ecsrtnchgs922_sr851975665gst  0,133.81,,0,ECS BOUNCED CHARGES
15-07-2022,,ecsrtnchgs130722_sr841251303,413,,1147.97,ECS BOUNCED CHARGES
19-07-2022,,ecsrtnchg01_160722_sr841835042,0.68,,0,ECS BOUNCED CHARGES
20-07-2022,,ecsrtnchgs170722_sr842108742,413,,3682,ECS BOUNCED CHARGES
20-07-2022,,ecsrtnchg01_160722_sr841835042gst,412.32,,3269.68,ECS BOUNCED CHARGES
06-09-2022,,ecsrtnchgs030922_sr851814743,413,,264.57,ECS BOUNCED CHARGES
19-08-2022,,ecsrtnchgs110822_sr847594068  0,272.19,,0,ECS BOUNCED CHARGES
22-08-2022,BANK CHARGES,ecsrtnchgs110822_sr847594068gst  0,244,,0,ECS BOUNCED CHARGES
23-08-2022,BANK CHARGES,ecsrtnchgs110822_sr847594068gst,49.99,,0.01,ECS BOUNCED CHARGES
07-10-2022,,ecsrtnchgs011022_sr857438630,61.98,,0.02,ECS BOUNCED CHARGES
08-10-2022,BANK CHARGES,ecsrtnchgs011022_sr857438630gst  0,8.02,,0,ECS BOUNCED CHARGES
10-10-2022,,ecsrtnchgs031022_sr858016936  0,28.46,,0,ECS BOUNCED CHARGES
29-05-2020,, 19 19 neft-21254962531dc-bagster ret    ,,250000,446326.03,NEFT BOUNCE
10-10-2022,,ecsrtnchgs051022_sr857956623,590,,570.69,ECS BOUNCED CHARGES
05-09-2022,,ecsrtnchgs922_sr851420723  0,7.76,,0,ECS BOUNCED CHARGES
06-09-2022,BANK CHARGES,ecsrtnchgs010922_sr851420723gst,582.24,,431.88,ECS BOUNCED CHARGES
03-04-2021,,neftreturn000334095973accountdoes not exis sahil gabakkbknr2104033345,,2000,15106.86,NEFT BOUNCE
17-08-2022,,ecsrtnchgs100822_sr847399866,6.99,,0.01,ECS BOUNCED CHARGES
18-08-2022,BANK CHARGES,ecsrtnchgs100822_sr847399866gst  0,159.01,,0,ECS BOUNCED CHARGES
12-09-2022,BANK CHARGES,ecsrtnchgs170822_sr848699095gst,590,,1249.89,ECS BOUNCED CHARGES
28-09-2022,BANK CHARGES,ecsrtnchgs110922_sr854861255gst  0,14,,0,ECS BOUNCED CHARGES
04-10-2022,BANK CHARGES,ecsrtnchgs100922_sr853128651gst  0,14,,0,ECS BOUNCED CHARGES
13-10-2022,BANK CHARGES,ecsrtnchg03_041022_sr858015011gst  0,5.18,,0,ECS BOUNCED CHARGES
20-09-2022,,ecsrtnchgs100922_sr853128651,590,,3112.81,ECS BOUNCED CHARGES
07-10-2022,,ecsrtnchgs021022_sr857445240,63.92,,0.01,ECS BOUNCED CHARGES
08-10-2022,BANK CHARGES,ecsrtnchgs021022_sr857445240gst,36.61,,0.01,ECS BOUNCED CHARGES
14-10-2022,BANK CHARGES,ecsrtnchgs021022_sr857445240gst  0,255.29,,0,ECS BOUNCED CHARGES
07-06-2022,,ecsrtnchgs622_sr833517046  0,6.17,,0,ECS BOUNCED CHARGES
05-08-2022,,ecsrtnchgs030822_sr846102913,87.8,,0.01,ECS BOUNCED CHARGES
26-08-2022,BANK CHARGES,ecsrtnchgs822_sr846102913gst  0,24.01,,0,ECS BOUNCED CHARGES
12-09-2022,BANK CHARGES,ecsrtnchgs030822_sr846102913gst,478.17,,455.53,ECS BOUNCED CHARGES
20-09-2022,,ecsrtnchgs922_sr852744765  0,20.21,,0,ECS BOUNCED CHARGES
23-09-2022,BANK CHARGES,ecsrtnchgs080922_sr852744765gst,569.79,,4710.21,ECS BOUNCED CHARGES
20-09-2022,,ecsrtnchgs070922_sr852558708,590,,1795.08,ECS BOUNCED CHARGES
05-05-2022,,ecsrtnchgs020522_sr827270153,590,,7066.96,ECS BOUNCED CHARGES
17-05-2022,,ecsrtnchgs130522_sr829294525  0,3.44,,0,ECS BOUNCED CHARGES
18-05-2022,BANK CHARGES,ecsrtnchgs130522_sr829294525gst  0,227,,0,ECS BOUNCED CHARGES
20-05-2022,BANK CHARGES,ecsrtnchgs130522_sr829294525gst,233.56,,140.55,ECS BOUNCED CHARGES
06-07-2022,,ecsrtnchgs040722_sr839312298,590,,5286.09,ECS BOUNCED CHARGES
05-05-2022,,ecsrtnchgs030522_sr827253126,590,,2155.05,ECS BOUNCED CHARGES
11-08-2022,,ecsrtnchgs822_sr846643015  0,8.8,,0,ECS BOUNCED CHARGES
12-08-2022,BANK CHARGES,ecsrtnchgs050822_sr846643015gst  0,581.2,,6148.8,ECS BOUNCED CHARGES
14-10-2022,,ecsrtnchgs101022_sr859164478,590,,2166.55,ECS BOUNCED CHARGES
17-08-2022,,ecsrtnchgs080822_sr847285166,590,,9710.95,ECS BOUNCED CHARGES
24-08-2022,,ecsrtnchgs220822_sr849303387,590,,11694.94,ECS BOUNCED CHARGES
13-07-2022,,ecsrtnchgs070722_sr840539939,590,,4182.72,ECS BOUNCED CHARGES
25-08-2022,,ecsrtnchgs230822_sr849506182  0,0.81,,0,ECS BOUNCED CHARGES
29-08-2022,BANK CHARGES,ecsrtnchgs230822_sr849506182gst,589.19,,910.81,ECS BOUNCED CHARGES
22-09-2022,BANK CHARGES,ecsrtnchgs070922_sr852558708gst,15.12,,0.01,ECS BOUNCED CHARGES
23-09-2022,BANK CHARGES,ecsrtnchgs922_sr852558708gst  0,0.01,,0,ECS BOUNCED CHARGES
12-10-2022,,ecsrtnchgs071022_sr858704752,1.99,,0.01,ECS BOUNCED CHARGES
07-07-2022,,ecsrtnchgs722_sr839588154  0,110.81,,0,ECS BOUNCED CHARGES
13-07-2022,,ecsrtnchgs080722_sr840539939,0.81,,0.01,ECS BOUNCED CHARGES
18-07-2022,,ecsrtnchgs150722_sr841746969,151.22,,0.01,ECS BOUNCED CHARGES
19-07-2022,BANK CHARGES,ecsrtnchgs080722_sr840539939gst,589.16,,12948.99,ECS BOUNCED CHARGES
19-07-2022,BANK CHARGES,ecsrtnchgs150722_sr841746969gst,438.77,,12220.39,ECS BOUNCED CHARGES
06-09-2022,BANK CHARGES,ecsrtnchgs160822_sr848305334gst,590,,6116.03,ECS BOUNCED CHARGES
29-09-2022,,ecsrtnchgs190922_sr855943683,590,,3035.01,ECS BOUNCED CHARGES
10-10-2022,,ecsrtnchgs061022_sr858125703  0,20.72,,0,ECS BOUNCED CHARGES
11-10-2022,BANK CHARGES,ecsrtnchgs061022_sr858125703gst  0,139,,0,ECS BOUNCED CHARGES
12-10-2022,,ecsrtnchgs091022_sr858705516  0,256,,0,ECS BOUNCED CHARGES
12-10-2022,,ecsrtnchg01_081022_sr858613195  0,590,,3130,ECS BOUNCED CHARGES
15-10-2022,BANK CHARGES,ecsrtnchgs091022_sr858705516gst  0,334,,3688,ECS BOUNCED CHARGES
15-10-2022,BANK CHARGES,ecsrtnchgs061022_sr858125703gst,254.28,,3433.72,ECS BOUNCED CHARGES
15-10-2022,,ecsrtnchgs131022_sr859626753,590,,2818.82,ECS BOUNCED CHARGES
10-10-2022,,ecsrtnchgs031022_sr858016936,121.19,,0.01,ECS BOUNCED CHARGES
11-10-2022,BANK CHARGES,ecsrtnchgs031022_sr858016936gst  0,429.72,,0,ECS BOUNCED CHARGES
09-08-2022,BANK CHARGES,ecsrtnchgs722_sr839081705gst  0,37.5,,0,ECS BOUNCED CHARGES
06-09-2022,BANK CHARGES,ecsrtnchgs060722_sr840109181gst,41.99,,0.01,ECS BOUNCED CHARGES
06-09-2022,BANK CHARGES,ecsrtnchgs622_sr833923032gst  0,0.01,,0,ECS BOUNCED CHARGES
19-09-2022,BANK CHARGES,ecsrtnchg01_822_sr846643015gst  0,402,,0,ECS BOUNCED CHARGES
07-10-2022,,ecsrtnchgs021022_sr857445240  0,53,,0,ECS BOUNCED CHARGES
14-10-2022,,ecsrtnchgs122_sr859164478  0,5,,0,ECS BOUNCED CHARGES
09-09-2022,,neft-yesb22525937937-satyashodhak bank rt  ,,5000,5140.83,NEFT BOUNCE
28-06-2022,,ecsrtnchgs270622_sr837892632,0.99,,0.01,ECS BOUNCED CHARGES
23-09-2022,BANK CHARGES,ecsrtnchgs020822_sr846065101gst  0,587,,3047,ECS BOUNCED CHARGES
29-09-2022,,ecsrtnchgs260922_sr856439184,0.99,,0.01,ECS BOUNCED CHARGES
28-09-2022,,ecsrtnchgs160922_sr855940073 365.60 (-),255.62,,54.99,ECS BOUNCED CHARGES
29-09-2022,BANK CHARGES,ecsrtnchgs160922_sr855940073gst  0,10.61,,0,ECS BOUNCED CHARGES
03-10-2022,BANK CHARGES,ecsrtnchgs160922_sr855940073gst,213.79,,792.21,ECS BOUNCED CHARGES
17-10-2022,,ecsrtnchgs141022_sr859683231,0.6,,0.01,ECS BOUNCED CHARGES
18-10-2022,BANK CHARGES,ecsrtnchgs141022_sr859683231gst  0,0.01,,0,ECS BOUNCED CHARGES
10-10-2022,BANK CHARGES,ecsrtnchgs090922_sr854841888gst,405.97,,0.01,ECS BOUNCED CHARGES
02-08-2022,,ecsrtnchgs290722_sr845001511,590,,40155.36,ECS BOUNCED CHARGES
03-09-2022,,ecsrtnchgs300822_sr851055047,590,,3359.16,ECS BOUNCED CHARGES
10-08-2022,,ecsrtnchgs070822_sr846804333  0,590,,496,ECS BOUNCED CHARGES
10-10-2022,,ecsrtnchgs061022_sr858125703,590,,4234.47,ECS BOUNCED CHARGES
06-10-2022,,ecsrtnchg01_011022_sr857438630,36.27,,0.01,ECS BOUNCED CHARGES
07-10-2022,,ecsrtnchgs021022_sr85744524.01 0,0.01,,0,ECS BOUNCED CHARGES
02-06-2021,,to ecs rtn ecs return charge + gst - inward return for accoun,118,,8783.24,ECS BOUNCED CHARGES
16-08-2019,,ecsrtnchg01_140819_sr628776005,413,,8268.63,ECS BOUNCED CHARGES
16-08-2019,,ecsrtnchg140819_sr628776005,413,,7855.63,ECS BOUNCED CHARGES
21-08-2019,,ecsrtnchg01_200819_sr629780371,413,,630.21,ECS BOUNCED CHARGES
21-08-2019,,ecsrtnchg200819_sr629780371,413,,99.21,ECS BOUNCED CHARGES
22-08-2019,,ecsrtnchg01_210819_sr630014988,413,,3884.88,ECS BOUNCED CHARGES
22-08-2019,,ecsrtnchg210819_sr630014988,413,,251780.88,ECS BOUNCED CHARGES
06-05-2022,,ecsrtnchgs050522_sr827632428,413,,24910.18,ECS BOUNCED CHARGES
11-05-2022,,ecsrtnchgs100522_sr828696910,413,,187500.18,ECS BOUNCED CHARGES
19-05-2022,,ecsrtnchgs170522_sr829804010,413,,146800.18,ECS BOUNCED CHARGES
04-04-2022,,ecsrtnchgs020422_sr820938089,1.73,,0,ECS BOUNCED CHARGES
05-04-2022,,ecsrtnchgs020422_sr820938089gst,411.27,,70457.73,ECS BOUNCED CHARGES
04-05-2022,,ecsrtnchgs020522_sr827269176,413,,39736.27,ECS BOUNCED CHARGES
16-11-2022,,ecsrtnchgs051122_sr864387817,413,,7932.6,ECS BOUNCED CHARGES
14-02-2023,,ecsrtnchgs050223_sr883312534,590,,2133.28,ECS BOUNCED CHARGES
07-09-2022,/,ecs/achreturnchg--,288.67,,6861.33,ECS BOUNCED CHARGES
26-11-2022,,neft-sbinz22330008732-mamata biswal-//returnfor//30197116531dc-7077331630-sbin,,1400,-44905648.76,NEFT BOUNCE
02-11-2022,,neft-sbinz22306050862-kb product-//returnfor//29914301201dc-36139813504-sbin0060436,,43724,10178699.82,NEFT BOUNCE
08-12-2022,,ecsrtnchgs031222_sr869854505,590,,2670515.9,ECS BOUNCED CHARGES
27-11-2019,,ecsreturnchgoct19,177,,507.16,ECS BOUNCED CHARGES
03-01-2019,,ecs return charges:sbpub/26867,177,,20398.31,ECS BOUNCED CHARGES
21-03-2022,,neft return000370068940not avalid cpin for gstrbi0802268750224,,500,10462.12,NEFT BOUNCE
08-09-2021,,ecsrtnchgs050921_sr774339695,413,,102686.51,ECS BOUNCED CHARGES
06-11-2018,,neft-sbinz18310000443-poojarubberindustriespooja-//returnfor//20802820341dc-65252257853-sbin0031465,,46889,198876.9,NEFT BOUNCE
06-03-2022,TBMS-916436282,rem chrgs:ecs return on 10-feb-2022desai anandkum,590,,5.9,ECS BOUNCED CHARGES
07-09-2022,N250222109032776,neft return-account closed-suntel cerami c-indbn07099314267,,125721,152692,NEFT BOUNCE
03-12-2022,N337222231742948,neft return-account closed-suntel cerami c-indbn03123509247,,190181,268331,NEFT BOUNCE
14-02-2023,N045232332147956,"neft dr-cnrb0000769-lokesh s-netbank, mu m-n045232332147956-hand loan return",400000,,2274780,NEFT BOUNCE
02-04-2023,N092232397943347,"neft dr-icic0000360-damodhar s-netbank, mum-n092232397943347-return",400000,,1093130,NEFT BOUNCE
12-05-2023,,neft return-account closed-suntel cerami n132232458287788 c-indbn12059391697,,155748,614520,NEFT BOUNCE
01-07-2022,0,neft cr-bkide22181039929-kusumlata  dilip rathore-bkid0namrgb-return utr,,50000,112049,NEFT BOUNCE
20-09-2022,,inb/neft/axic222637095446//jameelu jewelloan ret,100000,,61878.8,NEFT BOUNCE
16-04-2023,,neft/return/axic231062867103/r11/choice finserv p,,128762,287944,NEFT BOUNCE
25-02-2023,,neft return-any other reason-equitas small finance bank ltd-p056230223390314,,15720,-2607850,NEFT BOUNCE
11-05-2023,,ib neft dr p131230240746757sampanna corporate servicesbarb0shrira 04580200001233 return,200000,,-3010310,NEFT BOUNCE
01-09-2022,TPTBMS-1017419904, chrg: ecs return on 04-aug-2022  ach uip ,590,,47190.7,ECS BOUNCED CHARGES
02-09-2022,TPTBMS-1017564087, chrg: ecs return on 11-aug-2022  ach uip (value date: 01-sep-22 ) ,1180,,6854.7,ECS BOUNCED CHARGES
09-09-2022,TPTBMS-1018586251, chrg: ecs return on 16-aug-2022  ach uip (value date: 08-sep-22 ) ,1180,,319653,ECS BOUNCED CHARGES
